2021-05-14 10:22:06.307 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"e67cf5ca-0c05-4adf-9f3c-c1b28ab5ec40","result":"null"}}	
2021-05-14 10:22:09.310 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"6d781872-5292-4392-b324-14ac82ab7fd0","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:09.311 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"6d781872-5292-4392-b324-14ac82ab7fd0","result":"null"}}	
2021-05-14 10:22:12.305 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"dabf0dd9-6ee9-4b87-847b-86d5953702c2","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:12.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"dabf0dd9-6ee9-4b87-847b-86d5953702c2","result":"null"}}	
2021-05-14 10:22:15.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"6170a7b3-aa37-46cf-9728-445f91af3c0f","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:15.309 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"6170a7b3-aa37-46cf-9728-445f91af3c0f","result":"null"}}	
2021-05-14 10:22:18.309 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"425135dc-3370-40be-a16b-a91f85192505","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:18.310 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"425135dc-3370-40be-a16b-a91f85192505","result":"null"}}	
2021-05-14 10:22:21.311 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"f5f9dc45-933d-48a8-af1f-0873fa5bf456","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:21.311 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"f5f9dc45-933d-48a8-af1f-0873fa5bf456","result":"null"}}	
2021-05-14 10:22:24.306 +01:00 [VRB] stdout: {"type":"REQUEST","request":{"type":"emis-ping","id":"e4fba2e0-cf1b-4fe1-99e1-86e0f3907248","args":"Emis CSharp says 132654575973122150"}}
2021-05-14 10:22:24.306 +01:00 [VRB] stdin: {"type": "RESPONSE", "response": {"id":"e4fba2e0-cf1b-4fe1-99e1-86e0f3907248","result":"null"}}	
